Class,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9,dt10,dt11,dt12,dt13,dt14,Acc,LI
1,8915,7908,105,-219,6890,14567,564,1,362,864,-220,1114200,41460,2025,-0.035909305,0.783712436
1,-737,-494,-236,-64,-577,-1185,-175,-1,-299,-163,0,44000,0,-159,-0.065842188,0.88381815
1,-1476,99,0,-272,-621,-2875,-400,-2,-357,-838,0,-81300,0,-855,-0.045892961,0.392714548
1,804,673,0,-323,1132,-58,48,-137,-374,-329,0,1408600,0,-329,-0.04794068,0.863079069
1,-606,-453,-1,-57,-1757,-4503,131,51,-360,-71,987,3276300,1882000,1152,-0.015151515,0.637351779
1,780,-443,-27,-38,427,1561,684,4,537,444,48,-5069700,-12967560,352,-0.013920072,0.808647123
1,3997,3749,2611,838,2963,553,-169,12,-11,852,0,1673800,60000,1035,-0.093667143,0.398021619
1,39,-151,0,521,-30,-242,-304,0,-68,-9,-122,2206900,0,69,-0.048976666,0.478060046
1,-260,-158,0,-135,-412,-678,208,0,598,457,0,-39400,8000,153,-0.102339181,0.796418129
1,-16,103,0,-9,-146,-24,88,0,10,129,0,525500,0,129,-0.028598131,0.184672897
1,-392,-275,-53,-16,-286,-668,124,0,355,-111,0,12300,0,-105,-0.059801382,0.673791019
1,85602,50092,275,41112,-43673,-25928,9076,-909,20658,81335,578,-439630000,0,129275,-0.059737471,0.600686568
1,-16793,-4120,-3636,2166,-60624,6260,-3177,-148,21305,-1831,832,-104792000,-50000000,43832,-0.063001009,0.596092127
1,203010,-24719,10408,206718,-136002,-410950,224421,1333,231095,-24953,162513,-139982000,3281950697,339012,-0.085758326,0.826462128
1,99991,-5208,-509,6099,116985,9553,-1655,-98,-4164,-11278,1,-10964400,89816,-16993,0.007488705,0.750820669
1,23091,20196,-38,90,-52679,-8009,16649,-261,152728,133792,19712,-50770000,0,75771,0.075755184,0.679629058
1,-12222,-5836,-479,23469,-17910,-35207,13048,-93,111207,60728,0,-145800000,0,5688,-0.108607128,0.717709814
